Category,Definition,Sample Orgs,Theme
Fractional & Embedded Leadership,"Provide interim, fractional, or embedded executive leadership and cross-functional execution.","Chameleon Collective, FOAF, STA",-
"Training, Enablement & Professional Coaching",Upskill teams and leaders through structured learning and coaching.,Agency Outsight,-
Outsourcing & Managed Business Services,Run ongoing business functions via outsourcing or managed service models.,"AloaLabs, E2M",-
Brand Strategy & Positioning,"Define brand identity, positioning, and long-term brand strategy.","Gamut Creative, Unfettered, Wild Tame Co. Ltd, Brand Poets",Brand
"Creative, Content & Production","Produce creative assets, content, and media across marketing and communication channels.","PopFizz, Not A Production Company, ",Creative
Customer Success & Retention,"Improve customer onboarding, retention, expansion, and lifecycle success.",Sinesis Limited,Customer
"Data, Analytics & Business Intelligence","Generate insights through data infrastructure, analytics, and reporting.",Mediaconfidant,Data
Market Research & Customer Intelligence,"Conduct market, customer, and competitive research and analysis.","Soundcheck Insights, RETHINK Retail",Data
"Finance, Accounting & Tax","Provide accounting, tax, financial reporting, and CFO-level advisory.",FlowFi,Finance
Human Capital & Talent,"Recruit, staff, and support workforce and talent needs.",CloudTask,HR
People Operations & HR,"Design people programs, compensation, performance, and org structures.","Employ HR Pro, ",HR
"Privacy, Risk & Compliance","Ensure regulatory compliance, privacy protection, and risk management.",,Legal
Legal,"Deliver legal counsel, contract support, and regulatory legal services.",Lakelet Advisory,Legal
Growth Marketing & Demand Generation,"Drive customer acquisition, pipeline growth, and revenue through marketing channels.","Pillar Marketing, iBeAuthentic",Marketing
"Lifecycle, CRM & Marketing Operations","Optimize customer journeys, lifecycle engagement, and marketing systems.",Retencity,Marketing
Public Relations & Communications,"Manage reputation, media relations, public affairs, and external communications.","Carve Comms, Auerbach International",Marketing
Operations & Process,"Improve operational efficiency, execution models, and internal workflows.",,Operations
"Change, Transformation & Reengineering","Lead organizational change, transformation programs, and adoption initiatives.",,Operations
Product Strategy & Innovation,"Define product vision, product-market fit, and innovation roadmaps.",Jiri Consulting,Product
"Product Management, UX & Design",Design user experiences and manage digital product development.,"Odd Creative, WHIPSAW",Product
Sales Strategy & Enablement,"Design sales motions, enable sales teams, and improve close and win rates.",Vendux,Sales
Revenue Operations & Go-To-Market,"Build and optimize revenue operations, tooling, and GTM infrastructure.","KWJ Consulting, Aspect Marketing",Sales
Strategy & Management Consulting,"Advise leadership on business strategy, growth direction, and organizational decision-making.","Levy Consulting Co., Twin Fish Group",Strategy
Technology Strategy & Digital Transformation,Advise on technology direction and lead digital transformation initiatives.,,Technology
Systems Integration & Enterprise Platforms,"Implement, integrate, and optimize enterprise systems and platforms.",Axelerant,Technology
Software Engineering & Custom Development,"Design and build custom software, applications, and technical products.","Bits&Letters, SLIDEFACTORY",Technology
"AI, Automation & Intelligent Systems","Build automation, AI-driven workflows, and intelligent systems.","Phenologix, Yotomations, Fountain City",Technology
IT Infrastructure & Managed Services,"Manage IT environments, cloud infrastructure, and technical operations.","Vaulted Oak, Spec Data",Technology
Cybersecurity & Information Security,"Protect systems, applications, and data from security threats.","RipRap Security, Hacker Simulations",Technology
Industry & Applied Engineering,,,