L1,L2
Administration,Document Management
Administration,Office and Productivity Equipment and Technology
"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations
"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy
"Agriculture, Horticulture, and Landscaping",Cannabis
Analysis,Business Intelligence
Analysis,Data Analysis
Analysis,Data Science
Analysis,Business Intelligence Software
Analysis,Data Visualization
Analysis,Image Analysis
Analysis,Mathematics and Mathematical Modeling
Analysis,Mathematical Software
Analysis,Natural Language Processing (NLP)
Analysis,Statistical Software
Analysis,Statistics
Architecture and Construction,Architectural Design
Architecture and Construction,Construction Estimating
Architecture and Construction,Construction Management
Architecture and Construction,Construction Inspection
Business,Process Improvement and Optimization
Business,Project Management
Business,Product Management
Business,Risk Management
Business,Business Analysis
Business,Business Communications
Business,Business Consulting
Business,Business Leadership
Business,Business Operations
Business,Business Strategy
Business,Business Continuity
Business,Business Management
Business,Business Solutions
Business,Contract Management
Business,Internal Controls
Business,Performance Management
Business,Customer Relationship Management (CRM)
Business,People Management
Business,Pricing Analysis
Customer and Client Support,Client Support
Customer and Client Support,Customer Service
Customer and Client Support,Payment Processing and Collection
Design,Animation and Game Design
Design,Creative Design
Design,Art and Illustration
Design,Digital Design
Design,Graphic and Visual Design Software
Design,Industrial Design
Design,Graphic and Visual Design
Design,Presentation Design
Design,User Interface and User Experience (UI/UX) Design
"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development"
"Economics, Policy, and Social Studies",Urban and Regional Planning
"Economics, Policy, and Social Studies",Economics
"Economics, Policy, and Social Studies",Social Studies
Education and Training,Education Administration
Education and Training,Education Software and Technology
Education and Training,Program Management
Education and Training,Instructional and Curriculum Design
Education and Training,Training Programs
Education and Training,Higher Education
Education and Training,Library and Archiving
Education and Training,Teaching
Energy and Utilities,Clean Energy
Engineering,Engineering Practices
Engineering,Engineering Software
Engineering,Simulation and Simulation Software
Environment,Environment and Resource Management
Environment,Environmental Regulations
Environment,Environmental Geology
Finance,Specialized Accounting
Finance,Tax
Finance,Structured Finance
Finance,Underwriting
Finance,Banking Services
Finance,Budget Management
Finance,Accounting and Finance Software
Finance,Accounts Payable and Receivable
Finance,Billing and Invoicing
Finance,Commercial Lending
Finance,Cash Management
Finance,Cost Accounting
Finance,Cryptocurrency
Finance,Electronic Trading
Finance,Financial Accounting
Finance,Financial Modeling
Finance,Financial Reporting
Finance,General Accounting
Finance,Financial Advisement
Finance,Financial Analysis
Finance,Financial Management
Finance,Financial Trading
Finance,General Finance
Finance,Insurance
Finance,Investment Management
Finance,Mortgage Lending
Finance,Financial Regulation
Finance,General Lending
Finance,Mergers and Acquisitions
Hospitality and Food Services,Events and Conferences
Hospitality and Food Services,Hospitality Services
Hospitality and Food Services,Travel and Tourism
Hospitality and Food Services,Food and Beverage
Hospitality and Food Services,Hotels and Accommodations
Human Resources,Employee Relations
Human Resources,Human Resources Management and Planning
Human Resources,Compensation and Benefits
Human Resources,Employee Training
Human Resources,Human Resources Software
Human Resources,Payroll
Human Resources,Recruitment
Information Technology,Application Programming Interface (API)
Information Technology,Agile Software Development
Information Technology,Artificial Intelligence and Machine Learning (AI/ML)
Information Technology,Enterprise Information Management
Information Technology,Augmented and Virtual Reality (AR/VR)
Information Technology,Backup Software
Information Technology,Basic Technical Knowledge
Information Technology,C and C++
Information Technology,Blockchain
Information Technology,Cloud Computing
Information Technology,Cloud Solutions
Information Technology,Computer Hardware
Information Technology,Collaborative Software
Information Technology,Computer Science
Information Technology,Configuration Management
Information Technology,Cybersecurity
Information Technology,Extensible Languages and XML
Information Technology,Content Management Systems
Information Technology,Data Collection
Information Technology,Data Management
Information Technology,Data Storage
Information Technology,Database Architecture and Administration
Information Technology,Databases
Information Technology,Distributed Computing
Information Technology,"Extraction, Transformation, and Loading (ETL)"
Information Technology,Enterprise Application Management
Information Technology,General Networking
Information Technology,Geospatial Information and Technology
Information Technology,IT Management
Information Technology,Identity and Access Management
Information Technology,Integrated Development Environments (IDEs)
Information Technology,iOS Development
Information Technology,Java
Information Technology,Virtualization and Virtual Machines
Information Technology,Internet of Things (IoT)
Information Technology,IT Automation
Information Technology,JavaScript and jQuery
Information Technology,Log Management
Information Technology,Malware Protection
Information Technology,Mobile Development
Information Technology,Mainframe Technologies
Information Technology,Microsoft Development Tools
Information Technology,Middleware
Information Technology,Microsoft Windows
Information Technology,Operating Systems
Information Technology,Networking Software
Information Technology,Query Languages
Information Technology,Web Content
Information Technology,Other Programming Languages
Information Technology,Web Design and Development
Information Technology,Scripting
Information Technology,Scripting Languages
Information Technology,Search Engines
Information Technology,Servers
Information Technology,Software Development
Information Technology,Software Development Tools
Information Technology,Software Quality Assurance
Information Technology,System Design and Implementation
Information Technology,Systems Administration
Information Technology,Technical Support and Services
Information Technology,Telecommunications
Information Technology,Wireless Technologies
Information Technology,Test Automation
Information Technology,Video and Web Conferencing
Information Technology,Web Services
Information Technology,Version Control
"Law, Regulation, and Compliance",Auditing
"Law, Regulation, and Compliance",Criminal Investigation and Forensics
"Law, Regulation, and Compliance",Labor Compliance
"Law, Regulation, and Compliance",Litigation and Civil Justice
"Law, Regulation, and Compliance",Occupational Health and Safety
"Law, Regulation, and Compliance",Quality Assurance and Control
"Law, Regulation, and Compliance",Regulation and Legal Compliance
"Law, Regulation, and Compliance",Law Enforcement and Criminal Justice
"Law, Regulation, and Compliance",Legal Proceedings
"Law, Regulation, and Compliance",Property Law
"Law, Regulation, and Compliance",Legal Support
Manufacturing and Production,Manufacturing Design
Manufacturing and Production,Product Development
Manufacturing and Production,Lean Manufacturing
Manufacturing and Production,Manufacturing Standards
Manufacturing and Production,Product Inspection
Marketing and Public Relations,Advertising
Marketing and Public Relations,Brand Management
Marketing and Public Relations,Digital Marketing
Marketing and Public Relations,Industry Specific Marketing
Marketing and Public Relations,Fundraising and Crowdsourcing
Marketing and Public Relations,Market Analysis
Marketing and Public Relations,Marketing Software
Marketing and Public Relations,Marketing Strategy and Techniques
Marketing and Public Relations,Promotions and Campaigns
Marketing and Public Relations,Social Media
Marketing and Public Relations,Online Advertising
Marketing and Public Relations,Public Relations
Marketing and Public Relations,Web Analytics and SEO
Media and Communications,Audio Production and Technology
Media and Communications,Communication
Media and Communications,Journalism
Media and Communications,Content Development and Management
Media and Communications,Language Competency
Media and Communications,Media Production
Media and Communications,"Language Interpretation, Translation, and Studies"
Media and Communications,Photo/Video Production and Technology
Media and Communications,Streaming Media Systems
Media and Communications,Writing and Editing
"Performing Arts, Sports, and Recreation",Coaching and Athletic Training
"Performing Arts, Sports, and Recreation",Sports and Recreation
Personal Care and Services,Beauty and Body Treatments and Alterations
Personal Care and Services,Child Care
Personal Care and Services,Funeral and Mortuary Services
Physical and Inherent Abilities,Critical Thinking and Problem Solving
Physical and Inherent Abilities,Initiative and Leadership
Property and Real Estate,Property Management
Property and Real Estate,Real Estate Sales
Property and Real Estate,Real Estate Development
Sales,E-Commerce
Sales,Merchandising
Sales,Retail Sales
Sales,Prospecting and Qualification
Sales,Business-to-Business (B2B) Sales
Sales,Sales Management
Sales,Specialized Sales
Sales,Account Management
Sales,"Company, Product, and Service Knowledge"
Sales,General Sales Practices
Sales,Sales Analysis
Sales,Solution Sales Engineering
"Transportation, Supply Chain, and Logistics",Ground Freight Transportation
"Transportation, Supply Chain, and Logistics",Logistics
"Transportation, Supply Chain, and Logistics",Supplier Management
"Transportation, Supply Chain, and Logistics",General Shipping and Receiving
"Transportation, Supply Chain, and Logistics",Inventory and Warehousing
"Transportation, Supply Chain, and Logistics",Procurement
"Transportation, Supply Chain, and Logistics",Transportation Operations
"Transportation, Supply Chain, and Logistics",Supply Chain Management